	a	brief
the	state	of
state	of	israel
of	israel	was
israel	was	declared
was	declared	during
declared	during	this
during	this	difficult
this	difficult	time
difficult	time	in
time	in	response
in	response	member
response	member	states
member	states	of
states	of	the
of	the	arab
the	arab	league
arab	league	sent
league	sent	troops
sent	troops	to
troops	to	help
to	help	the
help	the	palestinian
the	palestinian	arabs
palestinian	arabs	west
arabs	west	jerusalem
west	jerusalem	separated
jerusalem	separated	from
separated	from	the
from	the	rest
the	rest	of
rest	of	the
of	the	new
the	new	jewish
new	jewish	nation
jewish	nation	held
nation	held	out
held	out	under
out	under	siege
under	siege	for
siege	for	several
for	several	months
several	months	until
months	until	israeli
until	israeli	forces
israeli	forces	secured
forces	secured	a
secured	a	land
a	land	corridor
land	corridor	connecting
corridor	connecting	the
connecting	the	city
the	city	to
city	to	the
to	the	coastal
the	coastal	areas
coastal	areas	jews
areas	jews	were
jews	were	evacuated
were	evacuated	from
evacuated	from	the
from	the	old
the	old	city
old	city	s
city	s	jewish
s	jewish	quarter
jewish	quarter	and
quarter	and	thousands
and	thousands	of
thousands	of	arab
of	arab	families
arab	families	fled
families	fled	their
fled	their	homes
their	homes	in
homes	in	west
in	west	jerusalem
west	jerusalem	as
jerusalem	as	a
as	a	result
a	result	of
result	of	armistice
of	armistice	agreements
armistice	agreements	in
agreements	in	1949
in	1949	jerusalem
1949	jerusalem	was
jerusalem	was	divided
was	divided	west
divided	west	jerusalem
west	jerusalem	was
jerusalem	was	to
was	to	be
to	be	under
be	under	israeli
under	israeli	control
israeli	control	and
control	and	east
and	east	jerusalem
east	jerusalem	including
jerusalem	including	the
including	the	old
the	old	city
old	city	with
city	with	its
with	its	jewish
its	jewish	muslim
jewish	muslim	christian
muslim	christian	and
christian	and	armenian
and	armenian	quarters
armenian	quarters	came
quarters	came	under
came	under	jordanian
under	jordanian	authority
jordanian	authority	free
authority	free	access
free	access	to
access	to	holy
to	holy	sites
holy	sites	for
sites	for	members
for	members	of
members	of	all
of	all	religions
all	religions	was
religions	was	guaranteed
was	guaranteed	by
guaranteed	by	the
by	the	armistice
the	armistice	agreements
armistice	agreements	however
agreements	however	with
however	with	the
with	the	city
the	city	partitioned
city	partitioned	by
partitioned	by	fortifications
by	fortifications	and
fortifications	and	barbed
and	barbed	wire
barbed	wire	no
wire	no	israeli
no	israeli	or
israeli	or	jewish
or	jewish	pilgrims
jewish	pilgrims	were
pilgrims	were	allowed
were	allowed	to
allowed	to	visit
to	visit	the
visit	the	western
the	western	wall
western	wall	or
wall	or	other
or	other	jewish
other	jewish	sites
jewish	sites	in
sites	in	east
in	east	jerusalem
east	jerusalem	for
jerusalem	for	the
for	the	next
the	next	19
next	19	years
19	years	jerusalem
years	jerusalem	was
jerusalem	was	two
was	two	cities
two	cities	political
cities	political	and
political	and	religious
and	religious	boundaries
religious	boundaries	were
boundaries	were	aggravated
were	aggravated	by
aggravated	by	occasional
by	occasional	incidents
occasional	incidents	of
incidents	of	terrorism
of	terrorism	or
terrorism	or	sniping
or	sniping	until
sniping	until	the
until	the	six
the	six	day
six	day	war
day	war	in
war	in	june
in	june	1967
june	1967	within
1967	within	three
within	three	days
three	days	the
days	the	city
the	city	was
city	was	completely
was	completely	in
completely	in	israeli
in	israeli	hands
israeli	hands	and
hands	and	in
and	in	two
in	two	weeks
two	weeks	it
weeks	it	was
it	was	physically
was	physically	and
physically	and	administratively
and	administratively	reunited
administratively	reunited	jerusalem
reunited	jerusalem	s
jerusalem	s	mayor
s	mayor	teddy
mayor	teddy	kollek
teddy	kollek	spent
kollek	spent	the
spent	the	next
the	next	25
next	25	years
25	years	orchestrating
years	orchestrating	a
orchestrating	a	vast
a	vast	program
vast	program	of
program	of	development
of	development	adding
development	adding	new
adding	new	cultural
new	cultural	institutions
cultural	institutions	and
institutions	and	parks
and	parks	and
parks	and	instituting
and	instituting	neighborhood
instituting	neighborhood	restoration
neighborhood	restoration	projects
restoration	projects	while
projects	while	tirelessly
while	tirelessly	me
tirelessly	me	diating
me	diating	the
diating	the	concerns
the	concerns	of
concerns	of	jerusalem
of	jerusalem	s
jerusalem	s	many
s	many	communities
many	communities	today
communities	today	as
today	as	always
as	always	jerusalem
always	jerusalem	is
jerusalem	is	a
is	a	city
a	city	of
city	of	controversies
of	controversies	religious
controversies	religious	jews
religious	jews	in
jews	in	conflict
in	conflict	with
conflict	with	secular
with	secular	jews
secular	jews	palestinians
jews	palestinians	calling
palestinians	calling	for
calling	for	independence
for	independence	many
independence	many	residents
many	residents	protesting
residents	protesting	a
protesting	a	wave
a	wave	of
wave	of	high
of	high	rise
high	rise	development
rise	development	that
development	that	many
that	many	claim
many	claim	will
claim	will	turn
will	turn	the
turn	the	holy
the	holy	city
holy	city	into
city	into	a
into	a	holy
a	holy	megalopolis
holy	megalopolis	but
megalopolis	but	the
but	the	ideas
the	ideas	and
ideas	and	mystique
and	mystique	that
mystique	that	have
that	have	always
have	always	made
always	made	this
made	this	an
this	an	extraordinarily
an	extraordinarily	special
extraordinarily	special	place
special	place	rise
place	rise	above
rise	above	the
above	the	ebbing
the	ebbing	and
ebbing	and	flowing
and	flowing	concerns
flowing	concerns	of
concerns	of	present
of	present	day
present	day	jerusalem
day	jerusalem	as
jerusalem	as	it
as	it	continues
it	continues	to
continues	to	tug
to	tug	at
tug	at	the
at	the	world
the	world	s
world	s	attention
s	attention	into
attention	into	the
into	the	new
the	new	millennium
new	millennium	a
millennium	a	brief
a	brief	history
brief	history	early
history	early	habitation
early	habitation	the
habitation	the	inhabited
the	inhabited	history
inhabited	history	of
history	of	the
of	the	las
the	las	vegas
las	vegas	valley
vegas	valley	stretches
valley	stretches	to
stretches	to	23
to	23	000
23	000	b
000	b	c
b	c	when
c	when	much
when	much	of
much	of	the
of	the	area
the	area	was
area	was	covered
was	covered	by
covered	by	a
by	a	prehistoric
a	prehistoric	lake
prehistoric	lake	during
lake	during	this
during	this	period
this	period	the
period	the	indigenous
the	indigenous	people
indigenous	people	lived
people	lived	in
lived	in	caves
in	caves	hunting
caves	hunting	the
hunting	the	mammals
the	mammals	that
mammals	that	gathered
that	gathered	at
gathered	at	the
at	the	shoreline
the	shoreline	the
shoreline	the	landscape
the	landscape	of
landscape	of	the
of	the	valley
the	valley	changed
valley	changed	dramatically
changed	dramatically	over
dramatically	over	the
over	the	next
the	next	200
next	200	centuries
200	centuries	the
centuries	the	glaciers
the	glaciers	feeding
glaciers	feeding	the
feeding	the	lake
the	lake	melted
lake	melted	away
melted	away	and
away	and	the
and	the	lake
the	lake	evaporated
lake	evaporated	fossils
evaporated	fossils	tell
fossils	tell	an
tell	an	obscure
an	obscure	story
obscure	story	of
story	of	man
of	man	s
man	s	slow
s	slow	and
slow	and	sporadic
and	sporadic	development
sporadic	development	around
development	around	3000
around	3000	b
3000	b	c
b	c	native
c	native	archaic
native	archaic	indians
archaic	indians	began
indians	began	to
began	to	develop
to	develop	a
develop	a	lasting
a	lasting	hunting
lasting	hunting	and
hunting	and	gathering
and	gathering	culture
gathering	culture	by
culture	by	this
by	this	time
this	time	the
time	the	valley
the	valley	was
valley	was	in
was	in	much
in	much	the
much	the	same
the	same	geographic
same	geographic	state
geographic	state	as
state	as	it
as	it	exists
it	exists	in
exists	in	today
in	today	with
today	with	one
with	one	exception
one	exception	the
exception	the	presence
the	presence	of
presence	of	artesian
of	artesian	springs
artesian	springs	that
springs	that	bubbled
that	bubbled	to
bubbled	to	the
to	the	surface
the	surface	in
surface	in	several
in	several	areas
several	areas	these
areas	these	springs
these	springs	fed
springs	fed	a
fed	a	network
a	network	of
network	of	streams
of	streams	draining
streams	draining	through
draining	through	the
through	the	las
the	las	vegas
las	vegas	wash
vegas	wash	to
wash	to	the
to	the	colorado
the	colorado	river
colorado	river	the
river	the	areas
the	areas	surrounding
areas	surrounding	the
surrounding	the	springs
the	springs	were
springs	were	desert
were	desert	oases
desert	oases	sprawling
oases	sprawling	collections
sprawling	collections	of
collections	of	grasses
of	grasses	trees
grasses	trees	and
trees	and	wildlife
and	wildlife	many
wildlife	many	springs
many	springs	lay
springs	lay	in
lay	in	areas
in	areas	that
areas	that	would
that	would	eventually
would	eventually	become
eventually	become	the
become	the	center
the	center	of
center	of	the
of	the	modern
the	modern	las
modern	las	vegas
las	vegas	metropolis
vegas	metropolis	for
metropolis	for	about
for	about	4000
about	4000	years
4000	years	the
years	the	archaics
the	archaics	thrived
archaics	thrived	in
thrived	in	a
in	a	culture
a	culture	that
culture	that	included
that	included	many
included	many	signs
many	signs	of
signs	of	early
of	early	civilization
early	civilization	signs
civilization	signs	of
signs	of	even
of	even	more
even	more	advancement
more	advancement	appeared
advancement	appeared	halfway
appeared	halfway	through
halfway	through	the
through	the	first
the	first	millennium
first	millennium	a
millennium	a	d
a	d	when
d	when	the
when	the	anasazi
the	anasazi	indians
anasazi	indians	inhabited
indians	inhabited	the
inhabited	the	valley
the	valley	far
valley	far	more
far	more	progressive
more	progressive	than
progressive	than	the
than	the	archaics
the	archaics	the
archaics	the	anasazi
the	anasazi	utilized
anasazi	utilized	such
utilized	such	formal
such	formal	agricultural
formal	agricultural	techniques
agricultural	techniques	as
techniques	as	irrigation
as	irrigation	to
irrigation	to	assist
to	assist	their
assist	their	harvest
their	harvest	this
harvest	this	permitted
this	permitted	the
permitted	the	anasazi
the	anasazi	to
anasazi	to	achieve
to	achieve	a
achieve	a	benchmark
a	benchmark	of
benchmark	of	advanced
of	advanced	society
advanced	society	the
society	the	ability
the	ability	to
ability	to	live
to	live	in
live	in	permanent
in	permanent	shelters
permanent	shelters	year
shelters	year	round
year	round	without
round	without	need
without	need	to
need	to	follow
to	follow	wildlife
follow	wildlife	mysteriously
wildlife	mysteriously	the
mysteriously	the	anasazi
the	anasazi	vanished
anasazi	vanished	from
vanished	from	the
from	the	valley
the	valley	around
valley	around	a
around	a	d
a	d	1150
d	1150	leaving
1150	leaving	it
leaving	it	to
it	to	be
to	be	repopulated
be	repopulated	by
repopulated	by	the
by	the	southern
the	southern	paiutes
southern	paiutes	another
paiutes	another	hunter
another	hunter	gatherer
hunter	gatherer	tribe
gatherer	tribe	unable
tribe	unable	to
unable	to	replicate
to	replicate	the
replicate	the	agricultural
the	agricultural	techniques
agricultural	techniques	of
techniques	of	the
of	the	anasazi
the	anasazi	the
anasazi	the	paiutes
the	paiutes	were
paiutes	were	destined
were	destined	to
destined	to	a
to	a	semi
a	semi	nomadic
semi	nomadic	lifestyle
nomadic	lifestyle	until
lifestyle	until	european
until	european	settlers
european	settlers	arrived
settlers	arrived	changing
arrived	changing	the
changing	the	nature
the	nature	of
nature	of	existence
of	existence	in
existence	in	the
in	the	valley
the	valley	forever
valley	forever	from
forever	from	mailmen
from	mailmen	to
mailmen	to	mormons
to	mormons	in
mormons	in	the
in	the	early
the	early	nineteenth
early	nineteenth	century
nineteenth	century	america
century	america	s
america	s	western
s	western	territories
western	territories	were
territories	were	still
were	still	largely
still	largely	unexplored
largely	unexplored	it
unexplored	it	was
it	was	not
was	not	until
not	until	1829
until	1829	that
1829	that	rafael
that	rafael	rivera
rafael	rivera	a
rivera	a	mexican
a	mexican	scout
mexican	scout	found
scout	found	a
found	a	spring
a	spring	fed
spring	fed	valley
fed	valley	and
valley	and	dubbed
and	dubbed	it
dubbed	it	las
it	las	vegas
las	vegas	a
vegas	a	spanish
a	spanish	name
spanish	name	that
name	that	leaves
that	leaves	many
leaves	many	modern
many	modern	visitors
modern	visitors	wondering
visitors	wondering	exactly
wondering	exactly	where
exactly	where	the
where	the	meadows
the	meadows	really
meadows	really	lay
really	lay	for
lay	for	fifteen
for	fifteen	years
fifteen	years	las
years	las	vegas
las	vegas	was
vegas	was	used
was	used	as
used	as	a
as	a	spanish
a	spanish	trail
spanish	trail	way
trail	way	station
way	station	in
station	in	1844
in	1844	american
1844	american	explorer
american	explorer	john
explorer	john	c
john	c	fremont
c	fremont	parked
fremont	parked	his
parked	his	horses
his	horses	at
horses	at	big
at	big	springs
big	springs	and
springs	and	his
and	his	report
his	report	to
report	to	the
to	the	government
the	government	resulted
government	resulted	in
resulted	in	a
in	a	mail
a	mail	route
mail	route	leading
route	leading	past
leading	past	the
past	the	spot
the	spot	on
spot	on	its
on	its	way
its	way	to
way	to	california
to	california	this
california	this	put
this	put	las
put	las	vegas
las	vegas	on
vegas	on	the
on	the	map
the	map	and
map	and	was
and	was	one
was	one	of
one	of	the
of	the	crucial
the	crucial	turning
crucial	turning	points
turning	points	of
points	of	its
of	its	history
its	history	in
history	in	1855
in	1855	mormon
1855	mormon	leader
mormon	leader	brigham
leader	brigham	young
brigham	young	responded
young	responded	to
responded	to	promising
to	promising	reports
promising	reports	of
reports	of	las
of	las	vegas
las	vegas	by
vegas	by	sending
by	sending	30
sending	30	missionary
30	missionary	settlers
missionary	settlers	to
settlers	to	the
to	the	valley
the	valley	they
valley	they	eventually
they	eventually	built
eventually	built	a
built	a	fort
a	fort	not
fort	not	far
not	far	from
far	from	today
from	today	s
today	s	downtown
s	downtown	surrounded
downtown	surrounded	by
surrounded	by	acres
by	acres	of
acres	of	farmland
of	farmland	hewn
farmland	hewn	from
hewn	from	the
from	the	hard
the	hard	desert
hard	desert	the
desert	the	adobe
the	adobe	fort
adobe	fort	became
fort	became	a
became	a	focal
a	focal	point
focal	point	for
point	for	the
for	the	development
the	development	of
development	of	las
of	las	vegas
las	vegas	for
vegas	for	the
for	the	next
the	next	fifty
next	fifty	years
fifty	years	the
years	the	missionaries
the	missionaries	struggled
missionaries	struggled	valiantly
struggled	valiantly	against
valiantly	against	the
against	the	dictates
the	dictates	of
dictates	of	the
of	the	desert
the	desert	trying
desert	trying	simultaneously
trying	simultaneously	to
simultaneously	to	survive
to	survive	the
survive	the	harshness
the	harshness	of
harshness	of	their
of	their	circumstances
their	circumstances	and
circumstances	and	spread
and	spread	the
spread	the	mormon
the	mormon	faith
mormon	faith	additional
faith	additional	pressures
additional	pressures	from
pressures	from	arriving
from	arriving	miners
arriving	miners	pushed
miners	pushed	the
pushed	the	missionaries
the	missionaries	plight
missionaries	plight	beyond
plight	beyond	recovery
beyond	recovery	their
recovery	their	supplies
their	supplies	scarce
supplies	scarce	their
scarce	their	harvest
their	harvest	meager
harvest	meager	and
meager	and	their
and	their	spirit
their	spirit	broken
spirit	broken	they
broken	they	abandoned
they	abandoned	the
abandoned	the	fort
the	fort	in
fort	in	1858
in	1858	despite
1858	despite	the
despite	the	fact
the	fact	that
fact	that	the
that	the	local
the	local	land
local	land	was
land	was	rich
was	rich	in
rich	in	silver
in	silver	by
silver	by	1865
by	1865	most
1865	most	of
most	of	the
of	the	mining
the	mining	traffic
mining	traffic	through
traffic	through	las
through	las	vegas
las	vegas	was
vegas	was	of
was	of	prospectors
of	prospectors	headed
prospectors	headed	to
headed	to	california
to	california	or
california	or	northern
or	northern	nevada
northern	nevada	in
nevada	in	search
in	search	of
search	of	gold
of	gold	one
gold	one	opportunist
one	opportunist	who
opportunist	who	stayed
who	stayed	was
stayed	was	octavius
was	octavius	decatur
octavius	decatur	gass
decatur	gass	bestowed
gass	bestowed	with
bestowed	with	plenty
with	plenty	of
plenty	of	the
of	the	invaluable
the	invaluable	pioneer
invaluable	pioneer	spirit
pioneer	spirit	that
spirit	that	characterizes
that	characterizes	las
characterizes	las	vegas
las	vegas	to
vegas	to	this
to	this	day
this	day	gass
day	gass	redirected
gass	redirected	his
redirected	his	life
his	life	by
life	by	picking
by	picking	up
picking	up	where
up	where	the
where	the	mormons
the	mormons	left
mormons	left	off
left	off	at
off	at	least
at	least	when
least	when	it
when	it	came
it	came	to
came	to	ranching
to	ranching	and
ranching	and	farming
and	farming	gass
farming	gass	took
gass	took	over
took	over	the
over	the	abandoned
the	abandoned	mormon
abandoned	mormon	fort
mormon	fort	and
fort	and	640
and	640	acres
640	acres	260
acres	260	hectares
260	hectares	surrounding
hectares	surrounding	it
surrounding	it	dubbing
it	dubbing	it
dubbing	it	the
it	the	las
the	las	vegas
las	vegas	ranch
vegas	ranch	he
ranch	he	expanded
he	expanded	the
expanded	the	ranch
the	ranch	and
ranch	and	irrigated
and	irrigated	the
irrigated	the	land
the	land	so
land	so	that
so	that	it
that	it	would
it	would	support
would	support	crops
support	crops	and
crops	and	cattle
and	cattle	his
cattle	his	determination
his	determination	had
determination	had	other
had	other	results
other	results	as
results	as	well
as	well	gass
well	gass	was
gass	was	named
was	named	a
named	a	justice
a	justice	of
justice	of	the
of	the	peace
the	peace	and
peace	and	a
and	a	territorial
a	territorial	legislator
territorial	legislator	despite
legislator	despite	his
despite	his	ambition
his	ambition	gass
ambition	gass	success
gass	success	was
success	was	short
was	short	lived
short	lived	in
lived	in	the
in	the	late
the	late	1870s
late	1870s	he
1870s	he	defaulted
he	defaulted	on
defaulted	on	a
on	a	loan
a	loan	from
loan	from	rancher
from	rancher	archibald
rancher	archibald	stewart
archibald	stewart	so
stewart	so	stewart
so	stewart	took
stewart	took	the
took	the	las
the	las	vegas
las	vegas	ranch
vegas	ranch	for
ranch	for	his
for	his	own
his	own	true
own	true	to
true	to	wild
to	wild	west
wild	west	stereotypes
west	stereotypes	stewart
stereotypes	stewart	was
stewart	was	slain
was	slain	by
slain	by	a
by	a	neighboring
a	neighboring	farmer
neighboring	farmer	leaving
farmer	leaving	his
leaving	his	strong
his	strong	willed
strong	willed	wife
willed	wife	helen
wife	helen	to
helen	to	assume
to	assume	the
assume	the	duties
the	duties	of
duties	of	the
of	the	ranch
the	ranch	through
ranch	through	1905
through	1905	helen
1905	helen	stewart
helen	stewart	expanded
stewart	expanded	the
expanded	the	ranch
the	ranch	to
ranch	to	2000
to	2000	acres
2000	acres	810
acres	810	hectares
810	hectares	making
hectares	making	quite
making	quite	a
quite	a	bit
a	bit	of
bit	of	money
of	money	in
money	in	the
in	the	process
the	process	what
process	what	happened
what	happened	next
happened	next	would
next	would	mark
would	mark	the
mark	the	end
the	end	of
end	of	the
of	the	successful
the	successful	las
successful	las	vegas
las	vegas	ranch
vegas	ranch	and
ranch	and	the
and	the	beginning
the	beginning	of
beginning	of	the
of	the	era
the	era	of
era	of	the
of	the	subdivision
the	subdivision	seen
subdivision	seen	across
seen	across	almost
across	almost	all
almost	all	of
all	of	western
of	western	america
western	america	to
america	to	this
to	this	day
this	day	the
day	the	railroad
the	railroad	was
railroad	was	coming
was	coming	and
coming	and	when
and	when	it
when	it	arrived
it	arrived	las
arrived	las	vegas
las	vegas	would
vegas	would	never
would	never	be
never	be	the
be	the	same
the	same	again
same	again	of
again	of	tracks
of	tracks	and
tracks	and	tracts
and	tracts	at
tracts	at	the
at	the	turn
the	turn	of
turn	of	the
of	the	19th
the	19th	century
19th	century	los
century	los	angeles
los	angeles	and
angeles	and	salt
and	salt	lake
salt	lake	city
lake	city	were
city	were	among
were	among	the
among	the	burgeoning
the	burgeoning	metropolises
burgeoning	metropolises	of
metropolises	of	the
of	the	new
the	new	american
new	american	west
american	west	though
west	though	the
though	the	two
the	two	cities
two	cities	remained
cities	remained	unlinked
remained	unlinked	by
unlinked	by	rail
by	rail	this
rail	this	was
this	was	about
was	about	to
about	to	change
to	change	quickly
change	quickly	when
quickly	when	it
when	it	did
it	did	the
did	the	las
the	las	vegas
las	vegas	valley
vegas	valley	which
valley	which	at
which	at	the
at	the	time
the	time	had
time	had	a
had	a	non
a	non	native
non	native	population
native	population	of
population	of	less
of	less	than
less	than	30
than	30	would
30	would	change
would	change	as
change	as	well
as	well	in
well	in	1903
in	1903	officials
1903	officials	of
officials	of	the
of	the	san
the	san	pedro
san	pedro	los
pedro	los	angeles
los	angeles	and
angeles	and	salt
and	salt	lake
salt	lake	railroad
lake	railroad	arrived
railroad	arrived	in
arrived	in	las
in	las	vegas
las	vegas	eager
vegas	eager	to
eager	to	secure
to	secure	a
secure	a	right
a	right	of
right	of	way
of	way	for
way	for	their
for	their	los
their	los	angeles
los	angeles	salt
angeles	salt	lake
salt	lake	connection
lake	connection	las
connection	las	vegas
las	vegas	would
vegas	would	serve
would	serve	as
serve	as	a
as	a	major
a	major	stopover
major	stopover	for
stopover	for	crew
for	crew	rest
crew	rest	and
rest	and	train
and	train	repair
train	repair	for
repair	for	all
for	all	this
all	this	the
this	the	railroad
the	railroad	needed
railroad	needed	land
needed	land	as
land	as	mapped
as	mapped	the
mapped	the	track
the	track	traveled
track	traveled	directly
traveled	directly	through
directly	through	helen
through	helen	stewart
helen	stewart	s
stewart	s	las
s	las	vegas
las	vegas	ranch
vegas	ranch	stewart
ranch	stewart	sold
stewart	sold	99
sold	99	5
99	5	percent
5	percent	of
percent	of	her
of	her	ranch
her	ranch	to
ranch	to	the
to	the	railroad
the	railroad	the
railroad	the	remainder
the	remainder	she
remainder	she	returned
she	returned	to
returned	to	the
to	the	native
the	native	paiutes
native	paiutes	in
paiutes	in	early
in	early	1905
early	1905	the
1905	the	route
the	route	between
route	between	los
between	los	angeles
los	angeles	and
angeles	and	salt
and	salt	lake
salt	lake	city
lake	city	was
city	was	completed
was	completed	and
completed	and	train
and	train	tracks
train	tracks	bore
tracks	bore	right
bore	right	down
right	down	the
down	the	center
the	center	of
center	of	the
of	the	las
the	las	vegas
las	vegas	valley
vegas	valley	on
valley	on	15
on	15	may
15	may	1905
may	1905	the
1905	the	railroad
the	railroad	held
railroad	held	a
held	a	land
a	land	sale
land	sale	a
sale	a	momentous
a	momentous	step
momentous	step	in
step	in	las
in	las	vegas
las	vegas	history
vegas	history	standing
history	standing	at
standing	at	the
at	the	depot
the	depot	at
depot	at	main
at	main	and
main	and	fremont
and	fremont	streets
fremont	streets	railroad
streets	railroad	officials
railroad	officials	auctioned
officials	auctioned	1200
auctioned	1200	lots
1200	lots	they
lots	they	had
they	had	subdivided
had	subdivided	from
subdivided	from	forty
from	forty	square
forty	square	blocks
square	blocks	of
blocks	of	desert
of	desert	scrub
desert	scrub	land
scrub	land	speculators
land	speculators	and
speculators	and	locals
and	locals	alike
locals	alike	were
alike	were	anxious
were	anxious	to
anxious	to	own
to	own	a
own	a	part
a	part	of
part	of	the
of	the	newest
the	newest	railroad
newest	railroad	boomtown
railroad	boomtown	and
boomtown	and	within
and	within	an
within	an	afternoon
an	afternoon	more
afternoon	more	than
more	than	80
than	80	percent
80	percent	of
percent	of	the
of	the	lots
the	lots	were
lots	were	sold
were	sold	las
sold	las	vegas
las	vegas	was
vegas	was	no
was	no	longer
no	longer	a
longer	a	small
a	small	pioneer
small	pioneer	settlement
pioneer	settlement	with
settlement	with	rail
with	rail	service
rail	service	in
service	in	place
in	place	and
place	and	forty
and	forty	blocks
forty	blocks	of
blocks	of	private
of	private	property
private	property	it
property	it	was
it	was	ready
was	ready	to
ready	to	become
to	become	a
become	a	real
a	real	town
real	town	businesses
town	businesses	sprang
businesses	sprang	up
sprang	up	overnight
up	overnight	and
overnight	and	wooden
and	wooden	houses
wooden	houses	were
houses	were	erected
were	erected	to
erected	to	replace
to	replace	the
replace	the	tent
the	tent	city
tent	city	in
city	in	which
in	which	many
which	many	of
many	of	the
of	the	early
the	early	settlers
early	settlers	had
settlers	had	lived
had	lived	one
lived	one	year
one	year	after
year	after	the
after	the	auction
the	auction	the
auction	the	population
the	population	of
population	of	las
of	las	vegas
las	vegas	had
vegas	had	ballooned
had	ballooned	to
ballooned	to	1500
to	1500	residents
1500	residents	a
residents	a	portent
a	portent	of
portent	of	things
of	things	to
things	to	come
to	come	for
come	for	the
for	the	next
the	next	ninety
next	ninety	years
ninety	years	dam
years	dam	good
dam	good	luck
good	luck	from
luck	from	the
from	the	beginning
the	beginning	las
beginning	las	vegas
las	vegas	was
vegas	was	built
was	built	to
built	to	serve
to	serve	travelers
serve	travelers	the
travelers	the	railroad
the	railroad	needed
railroad	needed	a
needed	a	way
a	way	station
way	station	and
station	and	las
and	las	vegas
las	vegas	was
vegas	was	the
was	the	place
the	place	growth
place	growth	continued
growth	continued	for
continued	for	ten
for	ten	years
ten	years	and
years	and	by
and	by	1915
by	1915	the
1915	the	town
the	town	had
town	had	telephones
had	telephones	round
telephones	round	the
round	the	clock
the	clock	electricity
clock	electricity	and
electricity	and	a
and	a	growing
a	growing	population
growing	population	many
population	many	of
many	of	whom
of	whom	worked
whom	worked	in
worked	in	the
in	the	railroad
the	railroad	repair
railroad	repair	shop
repair	shop	but
shop	but	such
but	such	heady
such	heady	progress
heady	progress	would
progress	would	soon
would	soon	come
soon	come	to
come	to	a
to	a	halt
a	halt	the
halt	the	growing
the	growing	competition
growing	competition	in
competition	in	rail
in	rail	transport
rail	transport	resulted
transport	resulted	in
resulted	in	union
in	union	pacific
union	pacific	buying
pacific	buying	the
buying	the	los
the	los	angeles
los	angeles	salt
angeles	salt	lake
salt	lake	line
lake	line	union
line	union	pacific
union	pacific	then
pacific	then	consolidated
then	consolidated	its
consolidated	its	operations
its	operations	eliminating
operations	eliminating	the
eliminating	the	las
the	las	vegas
las	vegas	repair
vegas	repair	facility
repair	facility	additionally
facility	additionally	las
additionally	las	vegas
las	vegas	had
vegas	had	been
had	been	made
been	made	a
made	a	part
a	part	of
part	of	nevada
of	nevada	s
nevada	s	new
s	new	clark
new	clark	county
clark	county	in
county	in	1909
in	1909	a
1909	a	year
a	year	when
year	when	the
when	the	legislature
the	legislature	also
legislature	also	outlawed
also	outlawed	gambling
outlawed	gambling	these
gambling	these	unfortunate
these	unfortunate	circumstances
unfortunate	circumstances	threatened
circumstances	threatened	to
threatened	to	relegate
to	relegate	las
relegate	las	vegas
las	vegas	to
vegas	to	the
to	the	status
the	status	of
status	of	a
of	a	small
a	small	desert
small	desert	community
desert	community	that
community	that	could
that	could	no
could	no	longer
no	longer	support
longer	support	its
support	its	3000
its	3000	residents
3000	residents	but
residents	but	the
but	the	southwest
the	southwest	s
southwest	s	growing
s	growing	need
growing	need	for
need	for	water
for	water	combined
water	combined	with
combined	with	las
with	las	vegas
las	vegas	s
vegas	s	fortuitous
s	fortuitous	proximity
fortuitous	proximity	to
proximity	to	the
to	the	colorado
the	colorado	river
colorado	river	would
river	would	give
would	give	las
give	las	vegas
las	vegas	a
vegas	a	second
a	second	chance
second	chance	to
chance	to	achieve
to	achieve	prosperity
achieve	prosperity	construction
prosperity	construction	on
construction	on	hoover
on	hoover	dam
hoover	dam	originally
dam	originally	boulder
originally	boulder	dam
boulder	dam	subsequently
dam	subsequently	renamed
subsequently	renamed	for
renamed	for	the
for	the	president
the	president	who
president	who	authorized
who	authorized	the
authorized	the	project
the	project	began
project	began	in
began	in	1931
in	1931	in
1931	in	a
in	a	canyon
a	canyon	45
canyon	45	miles
45	miles	72
miles	72	km
72	km	southeast
km	southeast	of
southeast	of	las
of	las	vegas
las	vegas	providing
vegas	providing	an
providing	an	influx
an	influx	of
influx	of	165
of	165	million
165	million	to
million	to	the
to	the	southwestern
the	southwestern	economy
southwestern	economy	hoover
economy	hoover	dam
hoover	dam	played
dam	played	a
played	a	major
a	major	role
major	role	in
role	in	preventing
in	preventing	las
preventing	las	vegas
las	vegas	from
vegas	from	drying
from	drying	up
drying	up	both
up	both	financially
both	financially	and
financially	and	literally
and	literally	not
literally	not	only
not	only	did
only	did	it
did	it	create
it	create	jobs
create	jobs	but
jobs	but	it
but	it	also
it	also	created
also	created	lake
created	lake	mead
lake	mead	the
mead	the	massive
the	massive	reservoir
massive	reservoir	that
reservoir	that	today
that	today	provides
today	provides	water
provides	water	to
water	to	all
to	all	of
all	of	southern
of	southern	nevada
southern	nevada	more
nevada	more	government
more	government	help
government	help	the
help	the	construction
the	construction	of
construction	of	hoover
of	hoover	dam
hoover	dam	did
dam	did	not
did	not	single
not	single	handedly
single	handedly	save
handedly	save	las
save	las	vegas
las	vegas	however
vegas	however	the
however	the	state
the	state	legislature
state	legislature	helped
legislature	helped	as
helped	as	well
as	well	by
well	by	legalizing
by	legalizing	gambling
